Year,Cairo,London,Moscow,New York,Sydney,Tokyo
1743,21.60797128497338,7.541,-2.5700000000000003,3.264,17.355094689387936,12.828230879499289
1744,21.596683917314948,10.338875,6.644375000000001,11.660375,17.344634092258396,12.816427719125542
1745,21.58549726485745,4.128,-6.13325,1.1344999999999998,17.334260761333034,12.804729633460017
1750,21.53107473058398,10.248636363636363,4.8442727272727275,10.071454545454545,17.283703099768903,12.747815325755683
1751,21.520492369332093,9.988875,5.066000000000001,10.794625,17.273853366068614,12.736747688339477
1752,21.510010723281138,6.542166666666667,-2.0816666666666666,2.8145000000000002,17.26409089857251,12.725785125631491
1753,21.499629792431115,9.421333333333333,3.8685833333333335,9.520916666666666,17.254415697280574,12.714927637631726
1754,21.48934957678203,9.19825,4.070166666666666,9.882,17.244827762192827,12.70417522434018
1755,21.47917007633388,8.949083333333334,3.9902499999999996,6.605699999999999,17.23532709330925,12.693527885756854
1756,21.469091291086663,9.41525,4.508083333333333,9.93588888888889,17.22591369062986,12.68298562188175
1757,21.459113221040376,9.338083333333334,4.6593333333333335,8.886181818181818,17.216587554154646,12.672548432714864
1758,21.44923586619503,8.854583333333334,2.220166666666667,8.15025,17.20734868388361,12.6622163182562
1759,21.439459226550614,9.802666666666667,3.448166666666667,9.007416666666666,17.19819707981675,12.651989278505756
1760,21.429783302107136,9.2615,2.409333333333333,7.7265454545454535,17.189132741954076,12.64186731346353
1761,21.42020809286459,9.687083333333334,4.144000000000001,10.18090909090909,17.180155670295576,12.631850423129526
1762,21.410733598822983,8.991416666666668,4.096333333333334,9.5488,17.171265864841256,12.621938607503743
1763,21.401359819982304,8.748666666666667,2.9062500000000013,7.2281,17.162463325591116,12.612131866586179
1764,21.392086756342565,9.142666666666667,4.348333333333334,9.5454,17.153748052545154,12.602430200376835
1765,21.38291440790376,8.951416666666667,4.296333333333334,8.955272727272726,17.145120045703372,12.592833608875711
1766,21.37384277466589,9.070416666666667,4.232916666666667,10.093916666666667,17.13657930506577,12.583342092082807
1767,21.36487185662895,8.977916666666667,4.049083333333334,8.521363636363636,17.128125830632342,12.573955649998124
1768,21.356001653792948,9.123833333333334,2.718833333333334,8.669833333333335,17.119759622403098,12.564674282621661
1769,21.34723216615788,9.042916666666667,3.851583333333334,9.101666666666667,17.111480680378033,12.555497989953418
1770,21.338563393723746,9.0325,3.971666666666667,9.038833333333333,17.103289004557148,12.546426771993396
1771,21.329995336490548,8.784,3.2287500000000002,10.18075,17.095184594940434,12.537460628741593
1772,21.321527994458283,9.355166666666667,3.9255833333333334,9.641166666666665,17.087167451527908,12.52859956019801
1773,21.313161367626954,9.331333333333333,4.7908333333333335,10.078750000000001,17.07923757431956,12.519843566362649
1774,21.304895455996558,9.1045,4.467333333333334,9.517545454545454,17.071394963315388,12.511192647235506
1775,21.2967302595671,10.096416666666668,5.290416666666666,10.242833333333333,17.063639618515396,12.502646802816583
1776,21.288665778338572,9.209083333333334,4.1634166666666665,9.133636363636363,17.055971539919582,12.494206033105883
1777,21.28070201231098,9.254,3.778166666666667,8.765083333333333,17.04839072752795,12.4858703381034
1778,21.27283896148432,9.80325,4.259833333333334,6.885166666666667,17.04089718134049,12.477639717809138
1779,21.265076625858597,10.760250000000001,4.99075,0.2466666666666666,17.033490901357215,12.469514172223098
1780,21.257415005433813,9.669749999999999,3.9044166666666666,9.10218864712182,17.02617188757812,12.461493701345276
1781,21.24985410020996,10.414083333333334,3.92275,9.787916666666666,17.0189401400032,12.453578305175675
1782,21.24239391018704,8.444833333333333,3.3275000000000006,9.15225,17.01179565863246,12.445767983714296
1783,21.235034435365055,9.97275,3.8870833333333334,8.813583333333332,17.004738443465904,12.438062736961134
1784,21.227775675744002,8.292,3.84925,8.40275,16.997768494503518,12.430462564916194
1785,21.22061763132389,8.541666666666666,2.6455,8.493916666666665,16.99088581174532,12.422967467579475
1786,21.21356030210471,8.347083333333334,3.3839166666666673,8.984,16.9840903951913,12.415577444950973
1787,21.206603688086464,9.52675,4.140416666666666,8.97475,16.97738224484145,12.408292497030693
1788,21.199747789269153,9.389583333333333,3.3129166666666676,9.774416666666665,16.970761360695786,12.401112623818635
1789,21.192992605652776,9.12425,4.600583333333334,9.423416666666666,16.9642277427543,12.394037825314793
1790,21.186338137237335,9.672833333333333,3.775916666666667,9.39475,16.957781391016997,12.387068101519175
1791,21.179784384022824,9.591583333333334,4.79575,9.373583333333334,16.951422305483867,12.380203452431777
1792,21.173331346009252,9.562916666666666,3.8473333333333333,8.721916666666667,16.94515048615492,12.373443878052596
1793,21.166979023196614,9.5875,4.322166666666667,9.882083333333334,16.93896593303015,12.366789378381638
1794,21.16072741558491,9.999916666666666,4.985500000000001,9.831833333333334,16.932868646109554,12.3602399534189
1795,21.15457652317414,9.18775,4.05175,9.211583333333333,16.926858625393145,12.35379560316438
1796,21.148526345964306,9.498583333333334,4.111833333333334,8.9665,16.920935870880914,12.347456327618081
1797,21.142576883955403,9.619750000000002,5.193083333333334,8.845083333333333,16.915100382572856,12.341222126780005
1798,21.136728137147436,9.827250000000001,4.5874999999999995,9.709999999999999,16.909352160468984,12.335093000650145
1799,21.130980105540406,7.938,3.353833333333334,9.190083333333334,16.903691204569288,12.329068949228509
1800,21.12533278913431,9.31725,3.796333333333333,9.577166666666667,16.89811751487377,12.323149972515091
1801,21.119786187929147,9.682416666666667,4.739583333333333,9.999916666666666,16.892631091382434,12.317336070509892
1802,21.114340301924923,9.309500000000002,4.484166666666667,10.285666666666666,16.887231934095276,12.311627243212916
1803,21.108995131121628,8.792333333333334,3.346166666666667,10.07125,16.881920043012293,12.306023490624156
1804,21.10375067551927,9.368333333333334,3.9152500000000003,9.685833333333333,16.876695418133494,12.300524812743621
1805,21.098606935117843,8.5585,3.6458333333333335,10.430833333333334,16.871558059458874,12.295131209571304
1806,21.093563909917354,9.869,4.177583333333334,9.378583333333333,16.866507966988433,12.289842681107206
1807,21.0886215999178,9.028583333333334,4.15425,9.172166666666667,16.861545140722164,12.28465922735133
1808,17.10666666666667,8.914666666666667,3.2063333333333333,9.56825,16.856669580660082,12.279580848303674
1809,19.867583333333332,8.99325,1.9035,8.865833333333333,16.85188128680218,12.274607543964237
1810,19.9265,8.9665,2.088250000000001,9.349083333333333,16.84718025914845,12.269739314333021
1811,20.004166666666666,10.104416666666667,3.21125,9.42525,16.842566497698904,12.264976159410026
1812,19.926916666666667,8.583416666666666,2.404,7.79775,16.838040002453535,12.26031807919525
1813,20.512583333333335,9.133083333333333,3.452083333333334,8.933166666666667,16.833600773412343,12.255765073688694
1814,20.425416666666667,7.929333333333333,2.791916666666667,8.69725,16.829248810575333,12.25131714289036
1815,20.301583333333333,8.994583333333333,2.8155,8.26625,16.824984113942502,12.246974286800244
1816,20.50975,7.980916666666666,3.2268333333333334,7.916583333333333,16.820806683513847,12.242736505418348
1817,21.87822222222222,8.948416666666667,3.1680833333333336,7.7785,16.816716519289375,12.238603798744675
1818,11.5985,9.87875,4.110666666666667,8.127583333333332,16.812713621269083,12.234576166779219
1819,20.309250000000002,9.584416666666668,3.39075,9.072166666666666,16.808797989452966,12.230653609521985
1820,20.575833333333332,8.60975,3.124083333333333,8.984916666666665,16.80496962384103,12.226836126972971
1821,20.63075,9.631083333333335,3.8835833333333336,8.528833333333333,16.801228524433274,12.223123719132175
1822,20.71625,10.360416666666667,5.009666666666667,9.84175,16.79757469122969,12.219516385999603
1823,20.708916666666667,8.800416666666667,3.987833333333333,8.638166666666667,16.794008124230295,12.216014127575248
1824,21.436000000000003,9.654083333333334,4.982583333333333,9.292,16.790528823435075,12.212616943859114
1825,20.998250000000002,9.982583333333332,3.595833333333333,10.206166666666666,16.787136788844034,12.2093248348512
1826,20.939249999999998,10.12125,4.838916666666666,9.921999999999999,16.78383202045717,12.206137800551508
1827,21.632499999999997,9.36875,4.372333333333334,9.261083333333334,16.78061451827449,12.203055840960033
1828,20.98933333333333,10.103833333333334,2.7775000000000003,10.703666666666665,16.777484282295983,12.200078956076782
1829,20.90925,7.947833333333334,2.4456666666666664,9.172416666666667,16.774441312521656,12.197207145901748
1830,21.249583333333334,8.784833333333333,3.6438333333333333,10.319416666666667,16.77148560895151,12.194440410434934
1831,20.517,10.013666666666667,3.502416666666667,9.065166666666666,16.768617171585547,12.191778749676343
1832,20.204166666666666,9.24375,2.6171666666666664,9.1455,16.765836000423757,12.189222163625969
1833,20.8145,9.396,3.931666666666668,9.153166666666666,16.763142095466147,12.186770652283817
1834,20.6885,10.586166666666667,3.86125,9.317833333333333,16.76053545671272,12.184424215649885
1835,20.171416666666666,9.48375,2.893666666666667,8.475,16.758016084163465,12.182182853724173
1836,20.59075,9.044416666666665,4.033666666666666,7.514333333333333,16.755583977818393,12.180046566506682
1837,20.267916666666668,8.853333333333333,2.9725,8.120333333333333,16.753239137677504,12.178015353997411
1838,20.210333333333335,8.053333333333335,2.852083333333333,8.7325,16.750981563740787,12.176089216196358
1839,20.432083333333335,8.889166666666666,3.4943333333333335,9.170083333333332,16.748811256008253,12.174268153103528
1840,20.557833333333335,8.678666666666667,2.4575,9.273666666666665,16.746728214479898,12.172552164718917
1841,20.90975,9.121083333333333,4.464000000000001,8.999166666666666,16.564666666666668,12.170941251042525
1842,20.92075,9.434166666666668,3.514416666666667,9.40875,16.574916666666667,12.169435412074355
1843,20.82875,9.400083333333333,4.8146666666666675,8.491166666666667,16.878583333333335,12.168034647814405
1844,20.65775,8.854666666666667,2.9960000000000004,9.115416666666667,16.21891666666667,12.166738958262673
1845,20.90125,8.455666666666668,2.93275,9.488249999999999,16.6435,11.948166666666667
1846,21.569083333333335,10.48325,3.7567500000000003,9.655583333333334,17.069,12.4045
1847,21.0975,9.240499999999999,4.017083333333333,9.304416666666667,16.60375,12.207500000000001
1848,20.88675,9.519333333333334,4.439583333333334,9.537083333333333,16.248416666666667,12.1365
1849,20.902,9.419833333333333,3.182,8.833166666666667,16.08375,12.13825
1850,20.388166666666667,9.06125,3.5268333333333337,9.095749999999999,16.50709090909091,11.71475
1851,21.1115,9.174916666666666,4.516749999999999,9.263499999999999,16.603833333333334,11.7615
1852,21.041166666666665,9.959999999999999,3.0545000000000004,8.98225,16.392083333333332,11.728250000000001
